,source_text,polyphone,location,narrow_context,context,index,reading,gloss
191275,史記,欒,30,子生|三晉欒逞來奔晏嬰,十|三|十四|三|九|||551|二十一|二十二孔子生|三晉欒逞來奔晏嬰曰﹕不如歸之|七欒逞奔齊|二十六|九|,-1,,
281571,史記,王,23,為討外隨大王後車彷徉天,而愁勞聖人之所以起也故吳王欲內以鼂錯為討外隨大王後車彷徉天下所鄉者降所指者下天下莫敢不服大王誠幸而許之一言,-1,,
294471,史記,首,21,觀也書曰元首明哉股肱良,不可得聞也五三六經載籍之傳維見可觀也書曰元首明哉股肱良哉因斯以談君莫盛於唐堯臣莫賢於后稷后稷創業於唐,-1,,
222247,史記,康,24,為熊毋康毋康蚤死熊渠卒,及周厲王之時暴虐熊渠畏其伐楚亦去其王後為熊毋康毋康蚤死熊渠卒子熊摯紅立摯紅卒其弟弒而代立曰熊延,-1,,
257593,史記,王,20,為此計者乎王曰文子為之,伐齊大破之士辱兵頓皆咎其王曰誰為此計者乎王曰文子為之大臣作亂文子出走故齊所以大破者以其伐楚而肥韓魏也此所謂借賊兵而齎盜糧者,-1,,
269827,史記,耳,22,將易置之信耳起乃知漢王,韓信未起即其臥內上奪其印符以麾召諸將易置之信耳起乃知漢王來大驚漢王奪兩人軍即令張耳備守趙地拜韓信為相國收趙兵,-1,,
267765,史記,告,26,諾使泄公具告之曰張王已,是泄公入具以報上乃赦趙王上賢貫高為人能立然諾使泄公具告之曰張王已出因赦貫高貫高喜曰吾王審出乎泄公曰然泄公曰上多足下故,-1,,
199901,史記,上,24,反者左將軍上官桀殺之便,御史大夫||弋陽|任宮以故上林尉捕格謀反者左將軍上官桀殺之便門封為侯二千戶後為太常,-1,,
171862,史記,三,23,帝外丙即位三年崩立外丙,立而卒於是迺立太丁之弟外丙是為帝外丙帝外丙即位三年崩立外丙之弟中壬是為帝中壬帝中壬即位,-1,,
219478,史記,行,27,奔于彘大臣行政故曰共和,其年數靖侯十七年周厲王迷惑暴虐國人作亂厲王出奔于彘大臣行政故曰共和十八年靖侯卒子釐侯司徒立釐侯十四年周,-1,,
247131,史記,先,20,孤不幸少失先人內不自量,臣敬以大王之言告越王越王大恐曰孤不幸少失先人內不自量抵罪於吳軍敗身辱棲于會稽國為虛莽賴大王之賜使得奉俎豆而修祭祀死不,-1,,
291165,史記,屬,20,曰︰南越內屬國之利也而,嘉弟為將將卒居宮外酒行太后謂嘉曰︰南越內屬國之利也而相君苦不便者何也以激怒使者使者狐疑相杖遂莫敢,-1,,
205560,史記,正,23,紀序無道則正朔不行於諸,三王之正若循環窮則反本天下有道則不失紀序無道則正朔不行於諸侯幽厲之後周,-1,,
247983,史記,父,21,都之而令民父子兄弟同室,三年作為築冀闕宮庭於咸陽秦自雍徙都之而令民父子兄弟同室內息者為禁而集小都鄉邑聚為縣置,-1,,
288144,史記,所,20,囚建詣行在所入塞罷兵是,臣不敢專權不亦可乎軍吏皆曰善遂囚建詣行在所入塞罷兵是歲也大將軍姊子霍去病年十八幸為天子侍中善騎射再從大將軍受詔與壯士,0,s-qʰraʔ,place (n.); that which
185329,史記,所,27,為大臣諸侯所疑足下何不,少而足下佩趙王印不急之國守藩迺為上將將兵留此為大臣諸侯所疑足下何不歸將印以兵屬太尉請,0,s-qʰraʔ,place (n.); that which
235917,史記,令,27,下扶持出門令拜謁武帝下,得也即使左右群臣入呼求之家人驚恐女亡匿內中床下扶持出門令拜謁武帝下車泣曰嚄大姊何藏之深也詔副車載之迴,-1,,
191192,史記,絳,17,公曰吾用魏絳九合諸侯賜,|十一率諸侯伐鄭秦敗我櫟公曰吾用魏絳九合諸侯賜之樂|十五我使庶長鮑伐晉救鄭,-1,,
248697,史記,乃,19,兵之至趙也乃激怒張儀入,賈取魏之雕陰且欲東兵蘇秦恐秦兵之至趙也乃激怒張儀入之于秦於是說韓宣王曰韓北有鞏成皋之固西有宜陽商阪之塞東有,-1,,
179142,史記,先,28,書而酷刑法先詐力而後仁,之心行自奮之智不信功臣不親士民廢王道立私權禁文書而酷刑法先詐力而後仁義以暴虐為天下始夫并兼者高詐力安定者貴順權此言取與,-1,,
221107,史記,會,19,先之冬晉侯會諸侯於溫欲,何以一時之利而加萬世功乎是以先之冬晉侯會諸侯於溫欲率之朝周力未能恐其有畔者乃使人言周襄王狩于河陽壬申遂率諸侯朝王於踐土孔子,-1,,
216808,史記,所,29,侯卒子釐侯所事立釐侯三,叛周武侯卒子夷侯立夷侯十一年周宣王即位二十八年夷侯卒子釐侯所事立釐侯三,0,s-qʰraʔ,place (n.); that which
304487,史記,取,27,民好用卦者取滿六十莖已,得滿百莖長丈者取八十莖已上蓍長八尺即難得也人民好用卦者取滿六十莖已上長滿六尺者即可用矣記曰︰能得名龜者財物歸之家必大富至千,-1,,
221546,史記,反,27,楚楚厚賜使反其言令宋急,謀曰楚天方開之不可當乃使解揚紿為救宋鄭人執與楚楚厚賜使反其言令宋急下解揚紿許之卒致晉君言楚欲殺之或諫乃歸解揚七年晉使隨,-1,,
253348,史記,將,24,甚眾始皇曰將軍行矣何憂,十萬人始皇自送至灞上王翦行請美田宅園池甚眾始皇曰將軍行矣何憂貧乎王翦曰為大王,-1,,
191319,史記,杼,25,欲專誅崔氏杼自殺|十二,|||546|二十六|二十七日蝕|二慶封欲專誅崔氏杼自殺|十二|三十一|十四|三十|,-1,,
255755,史記,為,32,酒酣公子起為壽侯生前侯,色終不變乃謝客就車至家公子引侯生坐上坐徧贊賓客賓客皆驚酒酣公子起為壽侯生前侯生因謂公子曰今,-1,,
260735,史記,出,20,皆涕泣俱欲出戰怒自十倍,盡掘壟墓燒死人即墨人從城上望見皆涕泣俱欲出戰怒自十倍田單知士卒之可用乃身操版插與士卒分功妻妾編於行伍之閒盡散,-1,,
246226,史記,為,29,乎伍子胥曰為我謝申包胥,平王之臣親北面而事之今至於僇死人此豈其無天道之極乎伍子胥曰為我謝申包胥曰吾日莫途遠吾故倒,-1,,
200339,史記,坐,30,騎都尉侍中坐祠宗廟乘小,禹謀反狀忠以語常侍騎郎楊惲共發覺告反侯二千戶今為梟騎都尉侍中坐祠宗廟乘小車奪百戶||爰戚|趙成用發覺楚國,-1,,
244014,史記,抑,16,帝緣恩寬忍抑案不揚公卿,子也欲發兵事發覺當誅昭帝緣恩寬忍抑案不揚公卿使大臣請遣宗正與太中大夫公戶滿意御史二人偕,-1,,
220820,史記,相,21,賞其姦上下相蒙難與處矣,盜況貪天之功以為己力乎下冒其罪上賞其姦上下相蒙難與處矣其母曰盍亦求之以死誰懟推曰尤而效之罪有甚焉且出怨,-1,,
261424,史記,能,22,規小節者不能成榮名惡小,名厚實也願公詳計而審處一焉且吾聞之規小節者不能成榮名惡小恥者不能立大功昔者管夷吾射桓公中其鉤篡也遺公子糾不能死,2,nˤəʔ,able; ability
275368,史記,卒,16,則立十二年卒子侯偃立三,侯精立二十四年卒子共侯則立十二年卒子侯偃立三十一年坐與淮南王謀反死國除信武侯靳歙以中涓從起宛朐攻濟陽破李由軍擊秦軍亳南開封,-1,,
276887,史記,陛,29,豈可悔哉且陛下有高世之,哀盎入頓首請罪上曰以不用公言至此盎曰上自寬此往事豈可悔哉且陛下有高世之行者三此不足以毀名上曰吾高世行三者何,-1,,
214235,史記,敗,30,杼有郤欲其敗也成彊殺無,崔崔杼許之二相弗聽曰崔宗邑不可成彊怒告慶封慶封與崔杼有郤欲其敗也成彊殺無咎偃於崔,-1,,
217005,史記,卒,30,立元侯六年卒子侯齊立侯,三年楚滅陳十九年成侯卒子聲侯產立聲侯十五年卒子元侯立元侯六年卒子侯齊立,-1,,
219635,史記,屈,21,在而蒲邊秦屈邊翟不使諸,公有意廢太子乃曰曲沃吾先祖宗廟所在而蒲邊秦屈邊翟不使諸子居之我懼焉於是使太子申生居曲沃公子重耳居蒲公子夷吾居屈,-1,,
234838,史記,鄱,26,走收兵復聚鄱盜當陽君黥,天下田儋誅殺公孫慶秦左右校復攻陳下之呂將軍走收兵復聚鄱盜當陽君黥布之兵相收復擊秦左右校破之青波復以陳為楚,-1,,
246076,史記,王,29,平王卒初平王所奪太子建,乃進專諸於公子光退而與太子建之子勝耕於野五年而楚平王卒初平王所奪太子建秦女生子軫及平王卒軫竟立為後是為昭王吳王,-1,,
273395,史記,與,22,少而戚夫人與呂后有卻邪,趙堯進請問曰陛下所為不樂非為趙王年少而戚夫人與呂后有卻邪備萬歲之後而趙王能自全乎高祖,-1,,
210257,史記,言,24,泉也方士多言古帝王有都,黃帝就青靈臺十二日燒黃帝乃治明廷明廷甘泉也方士多言古帝王有都甘泉者其後天子又朝諸侯甘泉甘泉作諸侯邸,-1,,
257870,史記,賈,21,袍以賜之須賈因問曰秦相,坐飲食曰范叔一寒如此哉乃取其一綈袍以賜之須賈因問曰秦相張君公知之乎吾聞幸於王天下之事皆決於相君今吾,-1,,
179181,史記,引,17,立天下莫不引領而觀其政,名號顯美功業長久今秦二世立天下莫不引領而觀其政夫寒者利裋褐而飢者甘糟穅天下之嗷嗷新主之資也此言,-1,,
241335,史記,騎,28,吏謂從屬車騎曰將軍約軍,使使持節詔將軍吾欲入勞軍亞夫乃傳言開壁門壁門士吏謂從屬車騎曰將軍約軍中不得驅馳於是天子乃按轡徐行至營將軍亞夫持兵揖曰介冑之士不拜,-1,,
242764,史記,使,20,趙王擅權使使即縣為賈人,大者死小者刑以故二千石莫敢治而趙王擅權使使即縣為賈人榷會入多於國經租稅以是趙王家,-1,,
226154,史記,為,16,假曰舍我我為君殺鄭子而,誘劫鄭大夫甫假要以求入假曰舍我我為君殺鄭子而入君厲公與盟乃舍之六月甲,-1,,
270732,史記,先,19,高材疾足者先得焉蹠之狗,俊烏集秦失其鹿天下共逐之於是高材疾足者先得焉蹠之狗吠堯堯非不仁狗因吠非其,-1,,
234017,史記,啟,31,與仁不憤不啟舉一隅不以,教文行忠信絕四毋意毋必毋固毋我所慎齊戰疾子罕言利與命與仁不憤不啟舉,-1,,
249486,史記,王,21,之群臣下吏王天下之明王,所聞於東周臣竊負其志及至燕廷觀王之群臣下吏王天下之明王也燕王曰子所謂明王者何如也對曰臣聞明王務聞其過不欲聞其善臣請謁王之過夫齊趙,-1,,
307593,史記,夫,27,勞而少功若夫列君臣父子,萬數累世不能通其學當年不能究其禮故曰博而寡要勞而少功若夫列君臣父子之禮序夫婦長幼之別雖百家弗能易也墨者亦尚堯舜道言其德,-1,,
301945,史記,解,20,聽客乃見郭解解夜見仇家,相仇者邑中賢豪居閒者以十數終不聽客乃見郭解解夜見仇家仇家曲聽解解乃謂仇家曰︰吾聞雒陽諸公在此閒多不聽者今子幸而聽解解柰何乃從他,-1,,
296919,史記,父,30,其父也縱其父而還自繫焉,者楚昭王相也堅直廉正無所阿避行縣道有殺人者相追之乃其父也縱其父而還自繫焉使,-1,,
237853,史記,所,16,補其處非上所詔令召而數,數矣然蕭何常從關中遣軍補其處非上所詔令召而數萬眾會上之乏絕者數矣夫漢與楚相守滎陽數年軍無見糧蕭何轉漕關中給食不乏陛下雖數亡,0,s-qʰraʔ,place (n.); that which
292887,史記,壇,29,降陁靡案衍壇曼緣以大江,若射干穹窮昌蒲江離麋蕪諸蔗猼且其南則有平原廣澤登降陁靡案衍壇曼緣以大江限以巫山其高燥則生葴䔮苞荔薛,-1,,
302859,史記,於,21,奪人衣服聞於中不忍致之,孫奴從者橫暴長安中當道掣頓人車馬奪人衣服聞於中不忍致之法有司請徙乳母家室處之於邊奏可乳母當入至前面見辭,-1,,
280363,史記,言,25,之所以腫者言蹶陰之絡結,難是蹶陰之動也脈來難者疝氣之客於膀胱也腹之所以腫者言蹶陰之絡結小腹也蹶陰,-1,,
181165,史記,使,21,惡食食項王使者使者歸報,以為亞父使者乃反項王使者更持去以惡食食項王使者使者歸報項王項王乃疑范增與漢有私稍奪之權范增大怒曰天下事大,-1,,
265899,史記,言,32,得見因上書言趙高之短曰,守與盜通狀李斯聞之是時二世在甘泉方作觳抵優俳之觀李斯不得見因上書言趙高之短曰臣聞之臣疑其君無不危國妾疑其夫無不危家今有,-1,,
249126,史記,長,26,蘇秦為從約長并相六國北,存危國寡人謹奉社稷以從於是六國從合而并力焉蘇秦為從約長并相六國北報趙王乃行過雒陽車騎輜重諸侯各發使送之甚眾疑,-1,,
261262,史記,先,17,拜謝曰始以先生為庸人吾,以得故寵乎於是新垣衍起再拜謝曰始以先生為庸人吾乃今日知先生為天下之士也吾請出不敢復,-1,,
229227,史記,所,28,之地也韓氏所以不入於秦,曰夫秦蠶食韓氏地中絕不令相通固自以為坐而受上黨之地也韓氏所以不入於秦者欲嫁其禍於趙也,0,s-qʰraʔ,place (n.); that which
304265,史記,道,18,稽神求問之道者以為後世,王遭事無不定決疑無不見其設稽神求問之道者以為後世衰微愚不師智人各自安化分為百室道散而無垠故,1,kə-lˤuʔ,Way
219537,史記,敗,24,攻桓叔桓叔敗還歸曲沃晉,其君昭侯而迎曲沃桓叔桓叔欲入晉晉人發兵攻桓叔桓叔敗還歸曲沃晉人共立昭侯子平為君是為孝侯誅潘父孝侯八年曲沃桓叔卒子,-1,,
187504,史記,會,16,服色事未就會竇太后治黃,以朝諸侯草巡狩封禪改曆服色事未就會竇太后治黃老言不好儒術使人微得趙綰等姦利事召案綰臧綰臧自殺諸所興為者皆廢後,-1,,
231990,史記,淳,20,律而督姦吏淳于髡說畢趨,成其五音騶忌子曰謹受令請謹脩法律而督姦吏淳于髡說畢趨出至門而面其僕曰,-1,,
211661,史記,少,16,民之鑄錢益少計其費不能,錢皆廢銷之輸其銅三官而民之鑄錢益少計其費不能相當唯真工大姦乃盜為之卜式相齊而楊可告緡徧天下中家以上大抵,-1,,
275014,史記,從,27,閎籍孺大恐從其計言帝果,君出辟陽侯太后大驩兩主共幸君君貴富益倍矣於是閎籍孺大恐從其計言帝果出辟陽侯辟陽侯之囚欲見平原,-1,,
191035,史記,三,19,|二|四|三|||58,六|六|十六|九晉伐我|十二|二|四|三|||582|四|九|十七頃公薨|十八執鄭成公,-1,,
264682,史記,下,23,生一焉而陛下說之何也必,之馬建翠鳳之旗樹靈鼉之鼓此數寶者秦不生一焉而陛下說之何也必秦國之所生然後可則是夜光之璧不飾朝廷犀象之器不為玩好鄭衛之女不充後,-1,,
201320,史記,三,25,||204三|魏豹反使,還據滎陽|二守關中|一太尉長安侯盧綰||||204三|魏豹反使韓信別定魏伐趙楚圍我滎陽|三|二||||203四|使韓信別定齊及,-1,,
179880,史記,邯,30,入鉅鹿城章邯令王離涉閒,乃渡河擊趙大破之當此時趙歇為王陳餘為將張耳為相皆走入鉅鹿城章邯令王離涉閒圍鉅鹿章邯軍其南,-1,,
193960,史記,勝,25,阿破秦軍乘勝至定陶項梁,咎弟豹走東阿|二|||八月|三|十二救東阿破秦軍乘勝至定陶項梁有驕,-1,,
179039,史記,王,17,世之業也秦王既沒餘威振,中之固金城千里子孫帝王萬世之業也秦王既沒餘威振於殊俗陳涉罋牖繩樞之子甿隸之人而遷徙之徒才能不及中人非有仲尼墨翟,-1,,
217425,史記,殺,24,伏弩廄門射殺靈公孔寧儀,舒似汝二子曰亦似公徵舒怒靈公罷酒出徵舒伏弩廄門射殺靈公孔寧儀行父皆奔楚靈,-1,,
217849,史記,女,21,子蚤死陳女女弟亦幸於莊,女為夫人好而無子又取陳女為夫人生子蚤死陳女女弟亦幸於莊公而生子完完母死莊公令夫人齊,-1,,
211633,史記,於,31,分財佐縣官於是楊可告緡,而公卿大夫多諂諛取容矣天子既下緡錢令而尊卜式百姓終莫分財佐縣官於是楊可告緡,-1,,
204915,史記,約,30,孫武申明軍約賞罰必信卒,事所受於天也自是之後名士迭興晉用咎犯而齊用王子吳用孫武申明軍約賞罰必信卒伯諸侯兼列邦土雖不及,-1,,
175035,史記,難,19,周王使人告難於晉秦秦繆,弟帶以翟伐王王出居鄭二十五年周王使人告難於晉秦秦繆公將兵助晉文公入襄王殺王弟帶,-1,,
302318,史記,怒,20,既過江都王怒為皇太后泣,以為天子辟從者伏謁道傍嫣驅不見既過江都王怒為皇太后泣曰︰請得歸國入宿衛比韓嫣太后由此嗛嫣嫣待上出,-1,,
264356,史記,將,20,保於遼東秦將李信追擊燕,薊城燕王喜太子丹等盡率其精兵東保於遼東秦將李信追擊燕王急代王嘉乃遺燕王喜書曰秦所以尤追燕急者以太子丹故也今王誠,-1,,
172111,史記,為,23,勝乃僇辱之為革囊盛血卬,道為偶人謂之天神與之博令人為行天神不勝乃僇辱之為革囊盛血卬而射之命曰射天武乙獵於河渭之閒暴雷武乙震死子帝,-1,,
297403,史記,降,25,數萬之眾來降虛府庫賞賜,予之以謝天下之苦塞百姓之心今縱不能渾邪率數萬之眾來降虛府庫賞賜發良民侍養譬若奉驕子愚民安知市買長安,-1,,
255115,史記,無,16,能割地不言無功者亦自以,親戚故也君受相印不辭無能割地不言無功者亦自以為親戚故也今信陵君存邯鄲而請封是親戚受,-1,,
275736,史記,能,24,亢拊其背未能全其勝也今,東雖亂秦之故地可全而有也夫與人鬭不搤其亢拊其背未能全其勝也今陛下入,2,nˤəʔ,able; ability
290637,史記,行,26,者也德優則行否則止與內,從制汲黯詰之乃聞于朝此可謂減於制度而可施行者也德優則行否則止與內奢泰,-1,,
232675,史記,與,20,怨王建不蚤與諸侯合從攻,民莫敢格者王建遂降遷於共故齊人怨王建不蚤與諸侯合從攻秦聽姦臣賓客以亡其國歌之曰松耶柏耶住建共者客耶疾建用客之不詳,-1,,
275304,史記,從,28,二級賜爵卿從至霸上沛公,攻安陽杠里擊趙賁軍於開封及擊楊熊曲遇陽武斬首十二級賜爵卿從至霸上沛公立為漢王漢王賜寬封號共,-1,,
221070,史記,左,24,不息文公歎左右曰勝楚而,伯癸亥王子虎盟諸侯於王庭晉焚楚軍火數日不息文公歎左右曰勝楚而君猶憂何文公曰吾聞能戰勝安者唯聖人是以懼且子,-1,,
307135,史記,居,27,千石魚陂山居千章之材安,曰陸地牧馬二百蹄牛蹄角千千足羊澤中千足彘水居千石魚陂山居千章之材安邑千樹棗燕秦千樹栗蜀漢江陵千樹橘淮北常山已南河濟之,-1,,
188672,史記,見,27,春公孫卿言見神人東萊山,祥壽星仍出淵耀光明信星昭見皇帝敬拜泰祝之饗其春公孫卿言見神人東萊山若云見天子天子於是幸,-1,,
256182,史記,見,21,歸救魏魏王見公子相與泣,天下乎語未及卒公子立變色告車趣駕歸救魏魏王見公子相與泣而以上將軍印授公子公子遂將魏安釐王,-1,,
208689,史記,甚,19,移過于下朕甚不取自今除,帝即位即位十三年下詔曰今祕祝移過于下朕甚不取自今除之始名山大川在諸侯諸侯祝各自奉祠天子官不領及齊淮南國廢令太祝盡以歲時致禮如故,-1,,
235359,史記,上,30,奉守冢寢廟上食祠如法而,於是乃追尊薄父為靈文侯會稽郡置園邑三百家長丞已下吏奉守冢寢廟上食祠如法而櫟陽北亦置靈文侯夫人園如靈文侯園儀薄太后以為母,-1,,
182893,史記,廣,18,薊故燕王韓廣徙王遼東廣,衡山王都邾燕將臧荼為燕王都薊故燕王韓廣徙王遼東廣不聽臧荼攻殺之無終封成安君陳餘河閒三縣居南皮封梅鋗,-1,,
208006,史記,稱,27,相殷復興焉稱高宗有雉登,陟贊巫咸巫咸之興自此始後十四世帝武丁得傅說為相殷復興焉稱高宗有雉登鼎耳雊武丁懼祖己曰修德武丁從之位以永寧後,-1,,
275787,史記,奇,29,必欲見短伏奇兵以爭利愚,還報曰兩國相擊此宜夸矜見所長今臣往徒見羸瘠老弱此必欲見短伏奇兵以爭利愚以為匈奴不可擊也是時漢兵已踰句注二十餘萬兵已業,-1,,
274174,史記,業,20,無以為衣食業為里監門吏,其者陳留高陽人也好讀書家貧落魄無以為衣食業為里監門吏然縣中賢豪不敢役縣中皆謂之狂生及陳勝項梁等起諸將徇地,-1,,
264255,史記,假,21,慴願大王少假借之使得畢,謝曰北蕃蠻夷之鄙人未嘗見天子故振慴願大王少假借之使得畢使於前秦王謂軻曰取舞陽所持地圖軻既取圖奏之秦王發圖,-1,,
183295,史記,將,21,因四面擊之將軍紀信乃乘,絕食乃夜出女子東門二千餘人被甲楚因四面擊之將軍紀信乃乘王駕詐為漢王誑楚楚皆呼萬歲之城東觀以故漢王得與數十騎出西門遁令御史大夫周,-1,,
295561,史記,父,31,王怒繫伍被父母囚之三月,乃曰臣今見麋鹿游姑蘇之臺也今臣亦見宮中生荊棘露霑衣也王怒繫伍被父母囚之三月復召曰,-1,,
170221,史記,為,17,一曰玄囂是為青陽青陽降,正妃生二子其後皆有天下其一曰玄囂是為青陽青陽降居江水其二曰昌意降居若水昌意娶蜀山氏女曰昌僕生高陽高陽有聖惪焉黃帝崩葬橋山其孫昌,-1,,
301056,史記,出,27,圖書名河所出山曰崑崙云,而漢使窮河源河源出于窴其山多玉石采來天子案古圖書名河所出山曰崑崙云是時上方數巡狩海上乃悉從外國客大都多人則過之散財帛以,-1,,
232398,史記,天,28,立兩帝王以天下為尊齊乎,也秦稱之天下惡之王因勿稱以收天下此大資也且天下立兩帝王以天下為尊齊乎尊秦乎王曰尊秦曰釋帝天下,-1,,
270364,史記,范,21,不過大夫種范蠡之於句踐,如張耳之與成安君者也以忠信言之則不過大夫種范蠡之於句踐也此二人者足以觀矣願足下深慮之且臣聞勇略震主者身危而功蓋天下者不賞臣,-1,,
298423,史記,乃,17,從諛弘疾之乃言上曰︰獨,用事位至公卿董仲舒以弘為從諛弘疾之乃言上曰︰獨董仲舒可使相膠西王膠西王素聞董仲舒月行亦善待之,-1,,
259227,史記,父,21,臣之上不謀父兄以為亞卿,察於燕先王過舉廁之賓客之中立之群臣之上不謀父兄以為亞卿臣竊不自知自,-1,,
282780,史記,女,16,曲旃後房婦女以百數諸侯,物相屬於道前堂羅鍾鼓立曲旃後房婦女以百數諸侯奉金玉狗馬玩好不可勝數魏其失竇太后益疏不用無勢諸客稍稍自引而怠傲唯灌將軍獨不失,-1,,
202418,史記,夫,28,馬|御史大夫邴吉|||,為丞相封高平侯|七月安世為大司馬衛將軍禹為大司馬|御史大夫邴吉|,-1,,
265546,史記,天,19,睢命之曰以天下為桎梏者,可不察焉故申子曰有天下而不恣睢命之曰以天下為桎梏者無他焉不能督責而顧以其身勞於天下之民若堯禹,-1,,
250643,史記,王,17,遂使楚楚懷王至則囚張儀,而為奉得黔中之地臣之上願遂使楚楚懷王至則囚張儀將殺之靳尚謂鄭袖曰子亦知子之賤,-1,,
224554,史記,召,22,此言襄王因召與語遂言曰,可得獨招而夜射也欲以激怒襄王故對以此言襄王因召與語遂言曰夫先王為秦所欺而客死於外怨莫大焉今以匹夫有怨尚有報萬乘白公子胥是,-1,,
181295,史記,王,32,燒楚積聚項王東擊破之走,得淮陰侯兵欲渡河南鄭忠說漢王乃止壁河內使劉賈將兵佐彭越燒楚積聚項王東擊破之走彭越漢王則引兵渡河復取成皋軍廣武,-1,,
219362,史記,王,22,一年自立為王東敗齊取五,襲剔成剔成敗奔齊偃自立為宋君君偃十一年自立為王東敗齊取五城南敗楚取地三百里西敗魏軍乃與齊魏,-1,,
306663,史記,守,22,彊不能有所守雖欲學吾術,不足與權變勇不足以決斷仁不能以取予彊不能有所守雖欲學吾術終不告之矣蓋,-1,,
195700,史記,左,32,將軍入漢以左丞相出征齊,年盡後元二年十八|侯第||平陽|以中涓從起沛至霸上侯以將軍入漢以左丞相出征齊魏以右丞相為平陽侯萬六百戶|七六年十二月甲申懿侯曹,-1,,
282194,史記,王,16,西王卬濟南王辟光菑川王,善今乃與楚王戊趙王遂膠西王卬濟南王辟光菑川王賢膠東王雄渠約從反為逆無道起兵以危宗廟賊殺大臣及漢使者迫劫萬民夭,-1,,
224907,史記,女,26,句踐乃以美女寶器令種閒,止句踐曰夫吳太宰嚭貪可誘以利請閒行言之於是句踐乃以美女寶器令種閒獻吳太宰嚭嚭受乃見大夫種於吳王種頓,-1,,
206882,史記,上,32,天疾其對國上復下下復上,勝無色行得盡勝之出而留桑榆閒疾其下國上而疾未盡其日過參天疾其對國上復下下復上有反將其入月將僇金,-1,,
241476,史記,甚,24,祖顧得侯吾甚恨之帝趣侯,時行耳自竇長君在時竟不得侯死後乃其子彭祖顧得侯吾甚恨之帝趣侯信也景帝曰請得與丞相議之丞相議之亞夫曰高皇帝約非劉氏不得,-1,,
271194,史記,長,19,胡和事寬得長王燕即有漢,為虜矣公何不令燕且緩陳豨而與胡和事寬得長王燕即有漢急可以安國張勝以為然迺私令匈奴助豨等擊燕燕王綰疑張勝與胡反上書請,-1,,
208517,史記,塞,24,春秋泮涸禱塞如東方名山,曰河祠臨晉沔祠漢中湫淵祠朝那江水祠蜀亦春秋泮涸禱塞如東方名山川而牲牛犢牢具珪幣各異,-1,,
237215,史記,使,17,共圍齊齊王使路中大夫告,齊孝王狐疑城守不聽三國兵共圍齊齊王使路中大夫告於天子天子復令路中大夫還告齊王善堅守吾兵今破吳楚矣路中,-1,,
277315,史記,去,31,見梁騎騎馳去遂歸報吳楚,從醉卒直隧直出司馬與分背袁盎解節毛懷之杖步行七八里明見梁騎騎馳去遂歸報吳楚已破上更以元王子平陸侯禮為楚王袁盎為楚相嘗上書有,-1,,
222874,史記,夫,31,於申僇越大夫常壽過殺蔡,古事焉十二年春楚靈王樂乾谿不能去也國人苦役初靈王會兵於申僇越大夫常壽過殺蔡大夫觀起起子從亡在吳乃勸吳王,-1,,
256991,史記,王,16,未得報齊襄王聞睢辯口乃,昭王使於齊范睢從留數月未得報齊襄王聞睢辯口乃使人賜睢金十斤及牛酒睢辭謝不敢受須賈知之大怒以為睢持魏國陰事告齊故得此饋令睢,-1,,
267492,史記,反,25,樹黨於趙以反楚乃遣兵從,趙王乃居代願王假臣兵請以南皮為扞蔽田榮欲樹黨於趙以反楚乃遣兵從陳餘陳餘因悉三縣兵襲常山王張耳張,-1,,
241221,史記,絳,17,使使持節赦絳侯復爵邑絳,辭乃謝曰吏方驗而出之於是使使持節赦絳侯復爵邑絳侯既出曰吾嘗將百萬軍然安知獄吏之貴乎絳侯復就國孝文,-1,,
255043,史記,數,30,之後宮以百數婢妾被綺縠,虜何為不憂乎李同曰邯鄲之民炊骨易子而食可謂急矣而君之後宮以百數婢妾被綺縠餘粱肉而民褐衣不完糟穅不厭民困兵盡或剡木為矛矢而君器物鍾,-1,,
200293,史記,傳,16,讓以自持欲傳功德於子孫,都尉秺侯從群子行謹善退讓以自持欲傳功德於子孫||平通|楊惲家在華陰故丞相楊敞,-1,,
283929,史記,數,18,史曰︰漢兵數十萬伏馬邑,烽燧得武州尉史欲刺問尉史尉史曰︰漢兵數十萬伏馬邑下單于顧謂左右曰︰幾為漢所賣乃引兵還出塞曰︰吾,-1,,
219197,史記,將,27,宋宋使華元將鄭敗宋囚華,桓之族為亂文公盡誅之出武繆之族四年春楚命鄭伐宋宋使華元將鄭敗宋囚華元華元之將戰殺羊以食士其御羊羹不及故怨馳入鄭軍故,-1,,
250222,史記,下,17,盡西海而天下不為貪是我,焉拔一國而天下不以為暴利盡西海而天下不為貪是我一舉而名實附也而又有禁暴止亂之名今攻韓劫天子惡名也而未必利也又有不,-1,,
288675,史記,且,27,可萬騎會日且入大風起沙,軍令武剛車自環為營而縱五千騎往當匈奴匈奴亦縱可萬騎會日且入大風起沙礫擊面兩軍不相見,-1,,
269743,史記,過,25,愚竊以為亦過矣故善用兵,下則劉項之權未有所分也若此者將軍所短也臣愚竊以為亦過矣故善用兵者不以短擊長而以長擊,-1,,
305892,史記,言,29,盜來徙官聞言不徙居家室,毋傷也求財物買臣妾馬牛得行者不行擊盜不行來者來聞盜來徙官聞言不徙居家室不吉歲稼不孰民疾疫少歲中毋兵見貴人得見請謁追亡人漁獵不,-1,,
